County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10468,X843,Public School,No,44.0,0.0,44.0,0.0,"(40.865972, -73.8953)"
Bronx,10468,X886,Public School,No,29.0,0.0,29.0,0.0,"(40.869142, -73.901821)"
Bronx,10468,X905,Public School,No,8.0,0.0,8.0,0.0,"(40.874725, -73.895543)"
Bronx,10469,X076,Public School,No,50.0,0.0,50.0,0.0,"(40.869059, -73.860928)"
Bronx,10469,X078,Public School,No,66.0,0.0,66.0,0.0,"(40.878474, -73.850563)"
Bronx,10469,X089,Public School,No,78.0,0.0,78.0,0.0,"(40.862481, -73.859254)"
Bronx,10469,X097,Public School,No,42.0,0.0,42.0,0.0,"(40.863524, -73.846768)"
Bronx,10469,X121,Public School,No,163.0,0.0,163.0,0.0,"(40.866474, -73.850510)"
Bronx,10469,X144,Public School,No,142.0,0.0,142.0,0.0,"(40.863842, -73.836525)"
Bronx,10469,X415,Public School,No,151.0,0.0,151.0,0.0,"(40.860443, -73.860729)"
Bronx,10469,X919,Public School,No,10.0,0.0,10.0,0.0,"(40.862481, -73.859254)"
